year,frequency,dataSet,station,surveName,lsss_name,,annotated_sets,SA_exported,200khz_tracks_process,200khz_tracks_export
2021,70,2021-BE,grafton,2021-BE_P1_grafton_70khz,S1_P2022_APELAFICO_2021-BE[2],,1,1,0,0
2021,70,2021-BE,grafton,2021-BE_P2_grafton_70khz,S2_P2022_APELAFICO_2021-BE[2],,1,1,0,0
2021,70,2021-BE,birkenfels,2021-BE_P1_birkenfels_70khz,S3_P2022_APELAFICO_2021-BE[2],,1,1,0,0
2021,70,2021-BE,birkenfels,2021-BE_P2_birkenfels_70khz,S4_P2022_APELAFICO_2021-BE[2],,1,1,0,0
2021,70,2021-BE,belwind,2021-BE_P1_belwind_70khz,S5_P2022_APELAFICO_2021-BE[2],,1,1,0,0
2021,70,2021-BE,belwind,2021-BE_P2_belwind_70khz,S6_P2022_APELAFICO_2021-BE[2],,1,1,0,0
2021,200,2021-BE,grafton,2021-BE_P1_grafton_200khz,S7_P2022_APELAFICO_2021-BE[2],,1,1,-1,0
2021,200,2021-BE,grafton,2021-BE_P2_grafton_200khz,S8_P2022_APELAFICO_2021-BE[2],,1,1,1,0
2021,200,2021-BE,birkenfels,2021-BE_P1_birkenfels_200khz,S9_P2022_APELAFICO_2021-BE[2],,1,1,1,0
2021,200,2021-BE,birkenfels,2021-BE_P2_birkenfels_200khz,S10_P2022_APELAFICO_2021-BE[2],,1,1,1,0
2021,200,2021-BE,belwind,2021-BE_P1_belwind_200khz,S11_P2022_APELAFICO_2021-BE[2],,1,1,1,0
2021,200,2021-BE,belwind,2021-BE_P2_belwind_200khz,S12_P2022_APELAFICO_2021-BE[2],,1,1,1,0
2022,70,2022-cpower,267814,2022-cpower_267814_70khz,S1_P2022_APELAFICO_Cpower[1],,1,1,0,0
2022,70,2022-cpower,274174,2022-cpower_274174_70khz,S2_P2022_APELAFICO_Cpower[1],,1,1,0,0
2022,70,2022-cpower,278093,2022-cpower_278093_70khz,S3_P2022_APELAFICO_Cpower[1],,1,1,0,0
2022,200,2022-cpower,267814,2022-cpower_267814_200khz,S4_P2022_APELAFICO_Cpower[1],,1,1,1,0
2022,200,2022-cpower,274174,2022-cpower_274174_200khz,S5_P2022_APELAFICO_Cpower[1],,1,1,1,0
2022,200,2022-cpower,278093,2022-cpower_278093_200khz,S6_P2022_APELAFICO_Cpower[1],,1,1,1,0
2022,70,2022-cpower,267838,2022-cpower_267838_70khz,S7_P2022_APELAFICO_Cpower[1],,1,1,0,0
2022,200,2022-cpower,267838,2022-cpower_267838_200khz,S8_P2022_APELAFICO_Cpower[1],,1,1,1,0
2022,70,2022-HKZ,267814,2022-HKZ_267814_70khz,S1_P2022_APELAFICO_2022-HKZ[3],,1,1,0,0
2022,70,2022-HKZ,267838,2022-HKZ_267838_70khz,S2_P2022_APELAFICO_2022-HKZ[3],,1,1,0,0
2022,70,2022-HKZ,274174,2022-HKZ_274174_70khz,S3_P2022_APELAFICO_2022-HKZ[3],,1,1,0,0
2022,70,2022-HKZ,278093,2022-HKZ_278093_70khz,S4_P2022_APELAFICO_2022-HKZ[3],,1,1,0,0
2023,70,2023-BSW,267814 BSW3,2023-BSW_267814 BSW3_70khz,S1_P2023_APELAFICO_2023-BSW[6],,1,1,0,0
2023,70,2023-BSW,267838 BSW4,2023-BSW_267838 BSW4_70khz,S2_P2023_APELAFICO_2023-BSW[6],,1,1,0,0
2023,70,2023-BSW,274174 BSW1,2023-BSW_274174 BSW1_70khz,S3_P2023_APELAFICO_2023-BSW[6],,1,1,0,0
2023,70,2023-BSW,278093 BSW2,2023-BSW_278093 BSW2_70khz,S4_P2023_APELAFICO_2023-BSW[6],,1,1,0,0
2023,200,2023-BSW,267814 BSW3,2023-BSW_267814 BSW3_200khz,S5_P2023_APELAFICO_2023-BSW[6],,1,1,-999,0
2023,200,2023-BSW,267838 BSW4,2023-BSW_267838 BSW4_200khz,S6_P2023_APELAFICO_2023-BSW[6],,0,0,-999,0
2023,200,2023-BSW,274174 BSW1,2023-BSW_274174 BSW1_200khz,S7_P2023_APELAFICO_2023-BSW[6],,0,0,-999,0
2023,70,2023-BE,belwind,2023-BE_belwind_70khz,S1_P2023_APELAFICO_2023-BE[7],,1,1,0,0
2023,70,2023-BE,cpower,2023-BE_cpower_70khz,S2_P2023_APELAFICO_2023-BE[7],,1,1,0,0
2023,70,2023-BE,gardencity,2023-BE_gardencity_70khz,S3_P2023_APELAFICO_2023-BE[7],,1,1,0,0
2023,70,2023-BE,grafton,2023-BE_grafton_70khz,S4_P2023_APELAFICO_2023-BE[7],,1,1,0,0
2023,200,2023-BE,belwind,2023-BE_belwind_200khz,S5_P2023_APELAFICO_2023-BE[7],,1,1,1,0
2023,200,2023-BE,gardencity,2023-BE_gardencity_200khz,S6_P2023_APELAFICO_2023-BE[7],,1,1,1,0
2023,200,2023-BE,grafton,2023-BE_grafton_200khz,S7_P2023_APELAFICO_2023-BE[7],,1,1,-999,0
2023,70,2023-HKN,267814,2023-HKN_267814_70khz,S1_P2022_APELAFICO_2023-HKN[4],,1,1,0,0
2023,70,2023-HKN,267838,2023-HKN_267838_70khz,S2_P2022_APELAFICO_2023-HKN[4],,1,1,0,0
2023,70,2023-HKN,274174,2023-HKN_274174_70khz,S3_P2022_APELAFICO_2023-HKN[4],,1,1,0,0
2023,70,2023-HKN,278093,2023-HKN_278093_70khz,S4_P2022_APELAFICO_2023-HKN[4],,1,1,0,0
